comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.85          228                1                  1         1         0         4         512         0           0           0.000238     NA          0.001396          0.002324            0.002323           0.01                 4             62
2.85          227                1                  1         1         0         4         512         0           1           .000060      NA          .000207           .000289             .000289            2.85                 227           99
2.92          229                1                  1         1         0         4         512         1           0           0.000104     0.000863    0.000664          0.001605            0.001604           0.00                 4             100
2.92          231                1                  1         1         0         4         512         1           1           .000058      0.000794    .000147           .000217             .000217            2.92                 231           99
2.87          227                1                  1         1         0         4         1024        0           0           0.000426     NA          0.001770          0.004168            0.004167           0.01                 4             62
2.84          227                1                  1         1         0         4         1024        0           1           .000196      NA          .000382           .000445             .000445            2.84                 227           99
2.91          229                1                  1         1         0         4         1024        1           0           0.000406     0.001504    0.000941          0.002153            0.002152           0.01                 4             90
2.91          229                1                  1         1         0         4         1024        1           1           .000129      0.001713    .000244           .000371             .000371            2.91                 229           99
2.85          227                1                  1         1         0         4         1536        0           0           0.001077     NA          0.003865          0.005443            0.005442           0.01                 8             83
2.85          227                1                  1         1         0         4         1536        0           1           .000224      NA          .000400           .000685             .000685            2.85                 227           99
2.91          229                1                  1         1         0         4         1536        1           0           0.000379     0.002234    0.000921          0.003493            0.003492           0.02                 4             71
2.91          231                1                  1         1         0         4         1536        1           1           .000239      0.002057    .000299           .000546             .000546            2.91                 231           99
2.85          226                1                  1         1         0         4         2048        0           0           0.001407     NA          0.004114          0.006072            0.006071           0.01                 4             83
2.84          227                1                  1         1         0         4         2048        0           1           .000362      NA          .000524           .000824             .000824            2.84                 227           100
2.92          230                1                  1         1         0         4         2048        1           0           0.000767     0.003014    0.001185          0.005095            0.005094           0.01                 6             75
2.91          230                1                  1         1         0         4         2048        1           1           .000286      0.002827    .000368           .000532             .000532            2.91                 230           99
2.87          227                1                  1         1         0         4         2560        0           0           0.001094     NA          0.003534          0.007204            0.007203           0.02                 4             60
2.85          228                1                  1         1         0         4         2560        0           1           .000422      NA          .000797           .001201             .001201            2.85                 228           99
2.91          229                1                  1         1         0         4         2560        1           0           0.001063     0.003739    0.001496          0.005599            0.005598           0.01                 6             70
2.92          229                1                  1         1         0         4         2560        1           1           .000341      0.004161    .000486           .000697             .000697            2.92                 229           100
2.86          227                1                  1         1         0         4         3072        0           0           0.002144     NA          0.005741          0.008869            0.008868           0.01                 4             81
2.87          227                1                  1         1         0         4         3072        0           1           .000481      NA          .000808           .001235             .001235            2.87                 227           99
2.92          230                1                  1         1         0         4         3072        1           0           0.001270     0.003453    0.001386          0.006141            0.006140           0.02                 5             65
2.91          231                1                  1         1         0         4         3072        1           1           .000541      0.006385    .000550           .000976             .000976            2.91                 231           99
2.85          228                1                  1         1         0         4         3584        0           0           0.002512     NA          0.006445          0.009950            0.009949           0.01                 4             83
2.85          227                1                  1         1         0         4         3584        0           1           .000547      NA          .000953           .001606             .001606            2.85                 227           100
2.92          230                1                  1         1         0         4         3584        1           0           0.001423     0.003602    0.001323          0.005261            0.005261           0.02                 5             75
2.92          229                1                  1         1         0         4         3584        1           1           .000393      0.006406    .000682           .000964             .000963            2.92                 229           100
2.84          226                1                  1         1         0         4         4096        0           0           0.001991     NA          0.005580          0.010349            0.010348           0.02                 5             65
2.85          228                1                  1         1         0         4         4096        0           1           .000559      NA          .001022           .001772             .001772            2.85                 228           99
2.92          230                1                  1         1         0         4         4096        1           0           0.001089     0.004465    0.001634          0.007628            0.007627           0.03                 10            72
2.91          231                1                  1         1         0         4         4096        1           1           .000597      0.005566    .000774           .001150             .001150            2.91                 231           100
2.86          228                1                  1         1         0         4         4608        0           0           0.003029     NA          0.006049          0.011785            0.011784           0.02                 7             62
2.85          228                1                  1         1         0         4         4608        0           1           .000778      NA          .001124           .001864             .001864            2.85                 228           100
2.90          229                1                  1         1         0         4         4608        1           0           0.001877     0.007087    0.002522          0.008151            0.008150           0.03                 5             68
2.91          229                1                  1         1         0         4         4608        1           1           .000561      0.010658    .000848           .001190             .001190            2.91                 229           99
2.84          227                1                  1         1         0         4         5120        0           0           0.003470     NA          0.006583          0.012552            0.012551           0.02                 7             72
2.84          227                1                  1         1         0         4         5120        0           1           .001092      NA          .001326           .001971             .001971            2.84                 227           99
2.93          230                1                  1         1         0         4         5120        1           0           0.002157     0.005360    0.002001          0.009760            0.009759           0.03                 7             64
2.92          229                1                  1         1         0         4         5120        1           1           .000665      0.006369    .000835           .001213             .001213            2.92                 229           100
