comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.97          232                1                  2.5         256       1         0         4         8192        0           1           .005889      NA          .019356           .024513             .024513            2.97                 232           100
3.03          232                1                  2.5         256       1         0         4         8192        1           1           .005503      0.057578    .012402           .015607             .015607            3.03                 232           99
2.95          232                1                  2.3         256       1         0         4         8192        0           1           .006009      NA          .014997           .024836             .024836            2.95                 232           99
3.00          233                1                  2.3         256       1         0         4         8192        1           1           .005637      0.050557    .012571           .015898             .015898            3.00                 233           99
2.96          232                1                  2.1         256       1         0         4         8192        0           1           .006191      NA          .017612           .025096             .025095            2.96                 232           99
3.03          232                1                  2.1         256       1         0         4         8192        1           1           .005785      0.076893    .011477           .014201             .014200            3.03                 232           99
2.95          232                1                  2           256       1         0         4         8192        0           1           .005925      NA          .017003           .025583             .025583            2.95                 232           99
3.00          234                1                  2           256       1         0         4         8192        1           1           .006170      0.074785    .011906           .014074             .014074            3.00                 234           99
2.95          231                1                  1.9         256       1         0         4         8192        0           1           .006457      NA          .019361           .026672             .026672            2.95                 231           99
3.03          233                1                  1.9         256       1         0         4         8192        1           1           .006154      0.071152    .011791           .014583             .014583            3.03                 233           99
2.97          232                1                  1.8         256       1         0         4         8192        0           1           .006775      NA          .015984           .027601             .027601            2.97                 232           99
3.01          233                1                  1.8         256       1         0         4         8192        1           1           .006903      0.065691    .012209           .015640             .015640            3.01                 233           99
2.95          232                1                  1.7         256       1         0         4         8192        0           1           .006805      NA          .020559           .026079             .026079            2.95                 232           99
3.04          233                1                  1.7         256       1         0         4         8192        1           1           .007082      0.078463    .012283           .015107             .015107            3.04                 233           99
2.94          231                1                  1.6         256       1         0         4         8192        0           1           .007158      NA          .020253           .027909             .027908            2.94                 231           99
3.00          233                1                  1.6         256       1         0         4         8192        1           1           .006885      0.085100    .013549           .016363             .016363            3.00                 233           100
2.95          231                1                  1.5         256       1         0         4         8192        0           1           .006436      NA          .018206           .028868             .028868            2.95                 231           99
3.02          234                1                  1.5         256       1         0         4         8192        1           1           .007570      0.065279    .013327           .017094             .017093            3.02                 234           99
2.94          233                1                  1.4         256       1         0         4         8192        0           1           .007973      NA          .023290           .030420             .030420            2.94                 233           100
3.01          237                1                  1.4         256       1         0         4         8192        1           1           .007997      0.059852    .014237           .018438             .018438            3.01                 237           99
2.95          238                1                  1.3         256       1         0         4         8192        0           1           .008279      NA          .025157           .030768             .030768            2.95                 238           99
3.01          233                1                  1.3         256       1         0         4         8192        1           1           .008142      0.080197    .013571           .017663             .017663            3.01                 233           99
2.96          231                1                  1.2         256       1         0         4         8192        0           1           .008406      NA          .022985           .030289             .030289            2.96                 231           99
3.01          233                1                  1.2         256       1         0         4         8192        1           1           .008038      0.079580    .015060           .017753             .017752            3.01                 233           99
2.95          232                1                  1.1         256       1         0         4         8192        0           1           .008399      NA          .022961           .032644             .032643            2.95                 232           99
3.01          232                1                  1.1         256       1         0         4         8192        1           1           .008766      0.077281    .014906           .020864             .020863            3.01                 232           99
2.95          231                1                  1           256       1         0         4         8192        0           1           .009975      NA          .025943           .032736             .032736            2.95                 231           99
3.01          233                1                  1           256       1         0         4         8192        1           1           .009371      0.076502    .016321           .021221             .021221            3.01                 233           99
