comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.41          226                1                  64        1         0         4         512         0           0           0.000361     NA          0.001838          0.003632            0.003631           0.01                 5             58
1.42          225                1                  64        1         0         4         512         0           1           .000057      NA          .000324           .000595             .000594            1.42                 225           100
1.46          226                1                  64        1         0         4         512         1           0           0.000327     0.000957    0.000689          0.002171            0.002170           0.00                 5             87
1.45          226                1                  64        1         0         4         512         1           1           .000055      0.002554    .000190           .000319             .000319            1.45                 226           99
1.41          226                1                  64        1         0         4         1024        0           0           0.000823     NA          0.003255          0.005673            0.005672           0.01                 6             81
1.39          224                1                  64        1         0         4         1024        0           1           .000121      NA          .000651           .001159             .001159            1.39                 224           99
1.42          227                1                  64        1         0         4         1024        1           0           0.000759     0.002009    0.001190          0.003743            0.003742           0.01                 7             76
1.45          226                1                  64        1         0         4         1024        1           1           .000137      0.002745    .000299           .000641             .000641            1.45                 226           99
1.39          225                1                  64        1         0         4         1536        0           0           0.001313     NA          0.005009          0.008431            0.008430           0.01                 8             81
1.38          225                1                  64        1         0         4         1536        0           1           .000233      NA          .000882           .001218             .001218            1.38                 225           99
1.45          227                1                  64        1         0         4         1536        1           0           0.000433     0.001296    0.000740          0.004271            0.004270           0.02                 9             60
1.44          225                1                  64        1         0         4         1536        1           1           .000200      0.002624    .000450           .000752             .000752            1.44                 225           99
1.41          226                1                  64        1         0         4         2048        0           0           0.001878     NA          0.006283          0.010480            0.010479           0.02                 9             68
1.39          226                1                  64        1         0         4         2048        0           1           .000201      NA          .000957           .001596             .001596            1.39                 226           100
1.46          227                1                  64        1         0         4         2048        1           0           0.001535     0.004053    0.001647          0.006953            0.006952           0.02                 10            70
1.45          227                1                  64        1         0         4         2048        1           1           .000234      0.004941    .000576           .000990             .000990            1.45                 227           100
1.43          226                1                  64        1         0         4         2560        0           0           0.002033     NA          0.007731          0.012006            0.012005           0.03                 12            70
1.40          225                1                  64        1         0         4         2560        0           1           .000293      NA          .001141           .001872             .001871            1.40                 225           100
1.41          226                1                  64        1         0         4         2560        1           0           0.001932     0.005366    0.002107          0.007326            0.007325           0.02                 12            75
1.46          227                1                  64        1         0         4         2560        1           1           .000283      0.005171    .000706           .001136             .001136            1.46                 227           99
1.44          225                1                  64        1         0         4         3072        0           0           0.002405     NA          0.007859          0.013305            0.013304           0.03                 12            73
1.42          225                1                  64        1         0         4         3072        0           1           .000387      NA          .001368           .002659             .002659            1.42                 225           99
1.45          226                1                  64        1         0         4         3072        1           0           0.002353     0.006128    0.002197          0.010111            0.010110           0.03                 14            67
1.44          227                1                  64        1         0         4         3072        1           1           .000419      0.006752    .000961           .001571             .001571            1.44                 227           99
1.39          225                1                  64        1         0         4         3584        0           0           0.002914     NA          0.009955          0.017127            0.017126           0.03                 14            66
1.43          226                1                  64        1         0         4         3584        0           1           .000465      NA          .001440           .002709             .002709            1.43                 226           99
1.43          226                1                  64        1         0         4         3584        1           0           0.002806     0.006709    0.002889          0.010120            0.010119           0.03                 16            75
1.44          226                1                  64        1         0         4         3584        1           1           .000453      0.006500    .000907           .001975             .001975            1.44                 226           99
1.44          225                1                  64        1         0         4         4096        0           0           0.003272     NA          0.012156          0.018891            0.018890           0.04                 15            68
1.41          225                1                  64        1         0         4         4096        0           1           .000463      NA          .001476           .002772             .002772            1.41                 225           99
