comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.42          245                1                  0    128       1         0         1         4096        0           0           0.023162     NA          0.114584          0.109958            0.109957           0.23                 38            296
2.42          244                1                  0    128       1         0         1         4096        0           1           .004558      NA          .043066           .091076             .091075            2.42                 244           100
2.42          244                1                  0    128       1         0         1         8192        0           0           0.048315     NA          0.249068          0.206796            0.206794           0.43                 70            320
2.41          245                1                  0    128       1         0         1         8192        0           1           .010835      NA          .087593           .192212             .192211            2.41                 245           99
2.43          246                1                  0    128       1         0         1         12288       0           0           0.077490     NA          0.405449          0.288639            0.288637           0.61                 101           348
2.42          244                1                  0    128       1         0         1         12288       0           1           .015684      NA          .138389           .302917             .302916            2.42                 244           100
2.41          249                1                  0    128       1         0         1         16384       0           0           0.088197     NA          0.514891          0.381657            0.381655           0.79                 133           349
2.42          251                1                  0    128       1         0         1         16384       0           1           .021691      NA          .189484           .413662             .413661            2.42                 251           100
2.42          245                1                  0    128       1         0         1         20480       0           0           0.118376     NA          0.614477          0.473505            0.473504           0.98                 165           339
2.48          245                1                  0    128       1         0         1         20480       0           1           .025838      NA          .225022           .531839             .531838            2.48                 245           100
2.43          247                1                  0    128       1         0         1         24576       0           0           0.134835     NA          0.787938          0.579619            0.579618           1.19                 197           330
2.43          249                1                  0    128       1         0         1         24576       0           1           .032973      NA          .290579           .632752             .632752            2.43                 249           99
2.39          244                1                  0    128       1         0         1         28672       0           0           0.157386     NA          0.886695          0.728649            0.728648           1.42                 229           338
2.41          244                1                  0    128       1         0         1         28672       0           1           .035521      NA          .327147           .734508             .734507            2.41                 244           99
2.40          243                1                  0    128       1         0         1         32768       0           0           0.179112     NA          0.986977          0.789081            0.789080           1.57                 260           337
2.40          244                1                  0    128       1         0         1         32768       0           1           .039936      NA          .384819           .858864             .858863            2.40                 244           99
2.40          245                1                  0    128       1         0         1         36864       0           0           0.205545     NA          1.055353          0.819811            0.819810           1.70                 292           346
2.42          249                1                  0    128       1         0         1         36864       0           1           .051766      NA          .423942           .974636             .974636            2.42                 249           99
2.42          246                1                  0    128       1         0         1         40960       0           0           0.229257     NA          1.160663          0.891398            0.891397           1.87                 324           340
2.41          246                1                  0    128       1         0         1         40960       0           1           .056784      NA          .487624           1.112398            1.112398           2.41                 246           99
2.40          243                1                  0    128       1         0         2         4096        0           0           0.025414     NA          0.138905          0.133673            0.133671           0.25                 42            297
2.41          244                1                  0    128       1         0         2         4096        0           1           .006869      NA          .032197           .060300             .060299            2.41                 244           99
2.41          245                1                  0    128       1         0         2         8192        0           0           0.073537     NA          0.281674          0.262600            0.262599           0.65                 78            272
