comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.69          217                1                  128       1         0         4         4096        0           0           0.005760     NA          0.018113          0.032293            0.032292           0.05                 27            74
1.80          216                1                  128       1         0         4         4096        0           1           .000708      NA          .002700           .005112             .005112            1.80                 216           99
1.51          215                1                  128       1         0         4         4096        1           0           0.005952     0.013918    0.006513          0.016279            0.016278           0.06                 31            78
1.66          217                1                  128       1         0         4         4096        1           1           .000770      0.022019    .002351           .003191             .003191            1.66                 217           99
1.65          215                1                  128       1         0         4         8192        0           0           0.008524     NA          0.025431          0.060376            0.060375           0.11                 51            58
1.74          216                1                  128       1         0         4         8192        0           1           .001497      NA          .004795           .009980             .009980            1.74                 216           99
1.54          217                1                  128       1         0         4         8192        1           0           0.006827     0.016643    0.007431          0.036415            0.036414           0.12                 59            62
1.88          217                1                  128       1         0         4         8192        1           1           .001480      0.022336    .003234           .007053             .007053            1.88                 217           99
1.41          215                1                  128       1         0         4         12288       0           0           0.010136     NA          0.037300          0.066599            0.066598           0.14                 75            62
1.61          216                1                  128       1         0         4         12288       0           1           .002277      NA          .008699           .015763             .015763            1.61                 216           99
1.44          216                1                  128       1         0         4         12288       1           0           0.016284     0.035819    0.016395          0.051577            0.051576           0.18                 87            71
1.72          217                1                  128       1         0         4         12288       1           1           .002343      0.024347    .005696           .010195             .010194            1.72                 217           100
1.81          215                1                  128       1         0         4         16384       0           0           0.025057     NA          0.061063          0.102968            0.102967           0.18                 99            77
1.48          215                1                  128       1         0         4         16384       0           1           .003622      NA          .012022           .023275             .023275            1.48                 215           99
1.71          216                1                  128       1         0         4         16384       1           0           0.022993     0.045381    0.018982          0.070858            0.070857           0.23                 115           72
1.43          216                1                  128       1         0         4         16384       1           1           .003099      0.046257    .008131           .014649             .014649            1.43                 216           99
1.73          219                1                  128       1         0         4         20480       0           0           0.026065     NA          0.075037          0.134216            0.134215           0.25                 123           70
1.55          215                1                  128       1         0         4         20480       0           1           .004660      NA          .017358           .023365             .023365            1.55                 215           100
1.60          216                1                  128       1         0         4         20480       1           0           0.027156     0.053137    0.022477          0.084632            0.084631           0.27                 143           74
1.69          216                1                  128       1         0         4         20480       1           1           .004494      0.054944    .009884           .016404             .016404            1.69                 216           100
1.69          215                1                  128       1         0         4         24576       0           0           0.029953     NA          0.091265          0.163466            0.163465           0.30                 147           70
1.40          215                1                  128       1         0         4         24576       0           1           .005280      NA          .020212           .031842             .031842            1.40                 215           100
1.75          215                1                  128       1         0         4         24576       1           0           0.032537     0.065110    0.028096          0.106897            0.106896           0.34                 171           72
1.63          216                1                  128       1         0         4         24576       1           1           .005026      0.161131    .012123           .021566             .021566            1.63                 216           99
1.72          215                1                  128       1         0         4         28672       0           0           0.024011     NA          0.100622          0.175552            0.175551           0.32                 170           64
1.68          216                1                  128       1         0         4         28672       0           1           .006765      NA          .021033           .036140             .036140            1.68                 216           99
1.63          217                1                  128       1         0         4         28672       1           0           0.033118     0.060379    0.021445          0.116377            0.116376           0.37                 198           66
1.43          217                1                  128       1         0         4         28672       1           1           .005954      0.090127    .014740           .024237             .024237            1.43                 217           99
1.85          215                1                  128       1         0         4         32768       0           0           0.047934     NA          0.145679          0.216070            0.216069           0.38                 194           81
1.40          215                1                  128       1         0         4         32768       0           1           .008629      NA          .026869           .041016             .041016            1.40                 215           99
1.57          216                1                  128       1         0         4         32768       1           0           0.041131     0.102661    0.044478          0.138563            0.138561           0.47                 226           75
1.59          216                1                  128       1         0         4         32768       1           1           .007038      0.110112    .016370           .023304             .023304            1.59                 216           99
1.40          214                1                  128       1         0         4         36864       0           0           0.056409     NA          0.179386          0.241841            0.241840           0.44                 218           81
1.74          215                1                  128       1         0         4         36864       0           1           .008636      NA          .029279           .047388             .047388            1.74                 215           100
1.87          216                1                  128       1         0         4         36864       1           0           0.051194     0.106871    0.042622          0.161273            0.161272           0.52                 254           74
1.69          216                1                  128       1         0         4         36864       1           1           .008748      0.172377    .019236           .028455             .028455            1.69                 216           100
1.73          216                1                  128       1         0         4         40960       0           0           0.063318     NA          0.178440          0.252398            0.252397           0.47                 246           83
1.49          215                1                  128       1         0         4         40960       0           1           .010497      NA          .033240           .049716             .049716            1.49                 215           100
1.58          216                1                  128       1         0         4         40960       1           0           0.032701     0.092692    0.030603          0.155831            0.155830           0.50                 282           66
1.44          216                1                  128       1         0         4         40960       1           1           .008937      0.140594    .022002           .029788             .029788            1.44                 216           100
1.65          214                1                  256       1         0         4         4096        0           0           0.005844     NA          0.020147          0.046884            0.046883           0.09                 51            65
1.37          214                1                  256       1         0         4         4096        0           1           .001055      NA          .003948           .008091             .008090            1.37                 214           99
1.65          215                1                  256       1         0         4         4096        1           0           0.006887     0.015983    0.008668          0.021498            0.021496           0.09                 59            81
1.50          216                1                  256       1         0         4         4096        1           1           .001208      0.055417    .003507           .007320             .007319            1.50                 216           100
1.71          214                1                  256       1         0         4         8192        0           0           0.011993     NA          0.038977          0.082790            0.082789           0.15                 99            63
1.64          214                1                  256       1         0         4         8192        0           1           .002382      NA          .008149           .013961             .013961            1.64                 214           100
1.50          216                1                  256       1         0         4         8192        1           0           0.010657     0.022289    0.010062          0.047167            0.047166           0.17                 115           61
1.67          214                1                  256       1         0         4         8192        1           1           .002107      0.035078    .006643           .011091             .011091            1.67                 214           99
1.45          213                1                  256       1         0         4         12288       0           0           0.022299     NA          0.076282          0.125575            0.125574           0.25                 147           73
1.68          214                1                  256       1         0         4         12288       0           1           .003665      NA          .018888           .028180             .028180            1.68                 214           100
1.73          215                1                  256       1         0         4         12288       1           0           0.023408     0.045812    0.022607          0.071984            0.071983           0.27                 171           78
1.71          215                1                  256       1         0         4         12288       1           1           .004202      0.045247    .009700           .015239             .015239            1.71                 215           100
1.67          214                1                  256       1         0         4         16384       0           0           0.034897     NA          0.101505          0.162642            0.162641           0.31                 194           80
1.78          214                1                  256       1         0         4         16384       0           1           .005583      NA          .018729           .031505             .031505            1.78                 214           99
1.53          215                1                  256       1         0         4         16384       1           0           0.027179     0.058496    0.027322          0.091396            0.091394           0.33                 226           78
1.68          215                1                  256       1         0         4         16384       1           1           .004872      0.076564    .014645           .022690             .022690            1.68                 215           99
1.46          213                1                  256       1         0         4         20480       0           0           0.026590     NA          0.118637          0.184190            0.184189           0.38                 242           72
1.50          214                1                  256       1         0         4         20480       0           1           .006448      NA          .025210           .039200             .039200            1.50                 214           99
1.82          216                1                  256       1         0         4         20480       1           0           0.024647     0.060643    0.023723          0.124171            0.124170           0.43                 282           62
1.52          214                1                  256       1         0         4         20480       1           1           .006778      0.221710    .017757           .024739             .024739            1.52                 214           99
1.37          214                1                  256       1         0         4         24576       0           0           0.054826     NA          0.166076          0.232153            0.232152           0.47                 290           85
1.67          214                1                  256       1         0         4         24576       0           1           .007586      NA          .030857           .049836             .049836            1.67                 214           99
1.70          215                1                  256       1         0         4         24576       1           0           0.029735     0.082419    0.036811          0.156555            0.156555           0.55                 338           63
1.69          215                1                  256       1         0         4         24576       1           1           .007684      0.097137    .020642           .030169             .030169            1.69                 215           99
1.66          214                1                  256       1         0         4         28672       0           0           0.042915     NA          0.165442          0.282977            0.282976           0.55                 338           71
1.82          214                1                  256       1         0         4         28672       0           1           .009217      NA          .034038           .056701             .056701            1.82                 214           99
1.39          216                1                  256       1         0         4         28672       1           0           0.058633     0.109606    0.037115          0.167708            0.167707           0.62                 394           76
1.51          215                1                  256       1         0         4         28672       1           1           .009009      0.109117    .023158           .031592             .031591            1.51                 215           100
1.50          213                1                  256       1         0         4         32768       0           0           0.074210     NA          0.191469          0.284505            0.284504           0.59                 385           83
1.51          214                1                  256       1         0         4         32768       0           1           .010919      NA          .039065           .060041             .060041            1.51                 214           99
1.54          214                1                  256       1         0         4         32768       1           0           0.070071     0.159711    0.061352          0.194150            0.194148           0.76                 449           80
1.40          215                1                  256       1         0         4         32768       1           1           .011424      0.347301    .028819           .040633             .040632            1.40                 215           99
