comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.52          215                1                  8         1         0         1         4096        0           0           0.001708     NA          0.008490          0.009036            0.009035           0.01                 5             100
1.64          214                1                  8         1         0         2         4096        0           0           0.003053     NA          0.010888          0.011756            0.011755           0.02                 6             86
1.46          212                1                  8         1         0         3         4096        0           0           0.002211     NA          0.005752          0.010655            0.010654           0.01                 5             75
1.34          212                1                  8         1         0         4         4096        0           0           0.001328     NA          0.005434          0.007675            0.007674           0.01                 5             76
1.64          213                1                  8         1         0         5         4096        0           0           0.002229     NA          0.006419          0.007964            0.007964           0.01                 5             92
1.45          213                1                  8         1         0         6         4096        0           0           0.001308     NA          0.002032          0.002603            0.002602           0.01                 5             80
1.59          216                1                  64        1         0         1         4096        0           0           0.002897     NA          0.014822          0.015318            0.015317           0.03                 19            93
1.77          215                1                  64        1         0         2         4096        0           0           0.005954     NA          0.021153          0.020339            0.020338           0.03                 21            102
1.68          212                1                  64        1         0         3         4096        0           0           0.005472     NA          0.012374          0.022232            0.022231           0.04                 15            71
1.71          213                1                  64        1         0         4         4096        0           0           0.004471     NA          0.012730          0.022256            0.022255           0.03                 15            69
1.68          214                1                  64        1         0         5         4096        0           0           0.005419     NA          0.014343          0.017764            0.017763           0.03                 17            90
1.66          213                1                  64        1         0         6         4096        0           0           0.001948     NA          0.004779          0.010916            0.010915           0.03                 13            70
