comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.47          219                1                  0    256       1         0         1         512         0           0           0.000703     NA          0.011077          0.007528            0.007527           0.02                 15            145
1.52          219                1                  0    256       1         0         1         512         0           1           .000105      NA          .002906           .001786             .001786            1.52                 219           100
1.47          218                1                  0    256       1         0         1         1024        0           0           0.001555     NA          0.018022          0.014574            0.014573           0.02                 23            124
1.54          218                1                  0    256       1         0         1         1024        0           1           .000220      NA          .005107           .002771             .002771            1.54                 218           100
1.65          219                1                  0    256       1         0         1         1536        0           0           0.001841     NA          0.026652          0.020657            0.020657           0.04                 31            104
1.70          219                1                  0    256       1         0         1         1536        0           1           .000309      NA          .007106           .004140             .004140            1.70                 219           100
1.66          219                1                  0    256       1         0         1         2048        0           0           0.001753     NA          0.026973          0.018768            0.018767           0.03                 39            115
1.67          218                1                  0    256       1         0         1         2048        0           1           .000418      NA          .005271           .006027             .006027            1.67                 218           99
1.47          218                1                  0    256       1         0         1         2560        0           0           0.002654     NA          0.044514          0.031035            0.031035           0.06                 47            118
1.37          219                1                  0    256       1         0         1         2560        0           1           .000505      NA          .006917           .007557             .007557            1.37                 219           99
1.48          219                1                  0    256       1         0         1         3072        0           0           0.004359     NA          0.048084          0.034060            0.034059           0.05                 55            133
1.76          218                1                  0    256       1         0         1         3072        0           1           .000596      NA          .008250           .008695             .008695            1.76                 218           99
1.37          219                1                  0    256       1         0         1         3584        0           0           0.005047     NA          0.056787          0.036082            0.036081           0.06                 63            134
1.66          218                1                  0    256       1         0         1         3584        0           1           .000731      NA          .018779           .010509             .010509            1.66                 218           99
1.70          218                1                  0    256       1         0         1         4096        0           0           0.006008     NA          0.077041          0.044694            0.044693           0.07                 70            148
1.66          219                1                  0    256       1         0         1         4096        0           1           .000759      NA          .018192           .010048             .010048            1.66                 219           99
1.37          217                1                  0    256       1         0         1         4608        0           0           0.006622     NA          0.088464          0.053116            0.053115           0.08                 78            144
1.64          222                1                  0    256       1         0         1         4608        0           1           .000956      NA          .024361           .013295             .013295            1.64                 222           99
1.37          218                1                  0    256       1         0         1         5120        0           0           0.005372     NA          0.083236          0.055963            0.055962           0.10                 86            116
1.66          218                1                  0    256       1         0         1         5120        0           1           .000883      NA          .023360           .012299             .012299            1.66                 218           99
