comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  freqs(GHz)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.44          231                1                  2.5         256       1         0         4         8192        0           1           .001257      NA          .004233           .016567             .016567            1.44                 231           99
1.40          232                1                  2.5         256       1         0         4         8192        1           1           .001237      0.012436    .002819           .008389             .008389            1.40                 232           100
1.36          229                1                  2.3         256       1         0         4         8192        0           1           .001222      NA          .004445           .018063             .018063            1.36                 229           99
1.39          231                1                  2.3         256       1         0         4         8192        1           1           .001219      0.012050    .002673           .009033             .009033            1.39                 231           100
1.37          229                1                  2.1         256       1         0         4         8192        0           1           .002008      NA          .005883           .023213             .023213            1.37                 229           99
1.39          231                1                  2.1         256       1         0         4         8192        1           1           .001899      0.017622    .003592           .012065             .012065            1.39                 231           100
1.38          230                1                  2           256       1         0         4         8192        0           1           .001848      NA          .006060           .024698             .024698            1.38                 230           99
1.40          230                1                  2           256       1         0         4         8192        1           1           .001846      0.017263    .003675           .012189             .012189            1.40                 230           99
1.37          229                1                  1.9         256       1         0         4         8192        0           1           .001988      NA          .006108           .024909             .024909            1.37                 229           99
1.40          231                1                  1.9         256       1         0         4         8192        1           1           .001880      0.017755    .003650           .013075             .013075            1.40                 231           100
1.38          231                1                  1.8         256       1         0         4         8192        0           1           .001946      NA          .005947           .025136             .025136            1.38                 231           99
1.39          232                1                  1.8         256       1         0         4         8192        1           1           .001838      0.017566    .003822           .012930             .012929            1.39                 232           99
1.38          231                1                  1.7         256       1         0         4         8192        0           1           .001989      NA          .006012           .024464             .024464            1.38                 231           99
1.40          231                1                  1.7         256       1         0         4         8192        1           1           .001837      0.017795    .003976           .012740             .012740            1.40                 231           99
1.37          229                1                  1.6         256       1         0         4         8192        0           1           .001975      NA          .005720           .022699             .022699            1.37                 229           99
1.40          231                1                  1.6         256       1         0         4         8192        1           1           .001839      0.018224    .003784           .012046             .012046            1.40                 231           99
1.37          230                1                  1.5         256       1         0         4         8192        0           1           .002600      NA          .007367           .031574             .031573            1.37                 230           99
1.39          231                1                  1.5         256       1         0         4         8192        1           1           .002389      0.025188    .004859           .016387             .016387            1.39                 231           100
1.38          232                1                  1.4         256       1         0         4         8192        0           1           .002495      NA          .007376           .034075             .034075            1.38                 232           100
1.40          230                1                  1.4         256       1         0         4         8192        1           1           .002534      0.023507    .004669           .015774             .015774            1.40                 230           99
1.37          230                1                  1.3         256       1         0         4         8192        0           1           .002519      NA          .007473           .034221             .034220            1.37                 230           99
1.40          231                1                  1.3         256       1         0         4         8192        1           1           .002452      0.023958    .004794           .017066             .017066            1.40                 231           99
1.37          229                1                  1.2         256       1         0         4         8192        0           1           .002613      NA          .007498           .033452             .033452            1.37                 229           99
1.41          231                1                  1.2         256       1         0         4         8192        1           1           .002566      0.024374    .004863           .018251             .018251            1.41                 231           99
1.38          229                1                  1.1         256       1         0         4         8192        0           1           .002624      NA          .007523           .030124             .030124            1.38                 229           99
1.40          230                1                  1.1         256       1         0         4         8192        1           1           .002556      0.022722    .004758           .016913             .016913            1.40                 230           99
1.36          231                1                  1           256       1         0         4         8192        0           1           .002572      NA          .007569           .032352             .032352            1.36                 231           99
1.40          232                1                  1           256       1         0         4         8192        1           1           .002500      0.023597    .004949           .015776             .015776            1.40                 232           99
