program  c.domain  adv.model   protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
42       BINARY    semihonest  replicated-bin  3          237.49        5652               44                 1000             4096        0.201977             1.79                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 900              4096        0.200327             1.85                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 800              4096        0.215566             1.81                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 700              4096        0.190824             1.79                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 600              4096        0.207231             1.80                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 500              4096        0.272844             1.88                 290           93         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 400              4096        0.202203             1.82                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 300              4096        0.304848             1.90                 290           92         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 200              4096        0.211868             1.82                 290           96         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 100              4096        0.227478             1.82                 290           95         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 50               4096        0.270864             1.87                 290           94         NA            0.520248        NA
42       BINARY    semihonest  replicated-bin  3          NA            NA                 NA                 30               4096        0.326006             1.93                 290           91         NA            0.520248        NA
