comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.87          218                1                  128       1         0         1         4096        0           0           0.004520     NA          0.035865          0.028520            0.028519           0.05                 35            113
1.54          218                1                  128       1         0         1         4096        0           1           .000568      NA          .006940           .005271             .005271            1.54                 218           99
1.61          217                1                  128       1         0         1         8192        0           0           0.009402     NA          0.062634          0.049853            0.049852           0.09                 67            112
1.51          217                1                  128       1         0         1         8192        0           1           .001205      NA          .009561           .007919             .007919            1.51                 217           99
1.75          219                1                  128       1         0         1         12288       0           0           0.013526     NA          0.088666          0.068811            0.068810           0.13                 99            114
1.54          219                1                  128       1         0         1         12288       0           1           .001647      NA          .017161           .012533             .012533            1.54                 219           99
1.72          218                1                  128       1         0         1         16384       0           0           0.019543     NA          0.119135          0.091658            0.091657           0.17                 130           114
1.73          217                1                  128       1         0         1         16384       0           1           .002482      NA          .020605           .016304             .016304            1.73                 217           100
1.45          219                1                  128       1         0         1         20480       0           0           0.015901     NA          0.123165          0.102789            0.102788           0.20                 162           99
1.72          217                1                  128       1         0         1         20480       0           1           .003102      NA          .026014           .020523             .020523            1.72                 217           99
1.47          218                1                  128       1         0         1         24576       0           0           0.028527     NA          0.180793          0.136226            0.136225           0.25                 194           117
1.74          219                1                  128       1         0         1         24576       0           1           .004464      NA          .028758           .023957             .023957            1.74                 219           99
1.78          218                1                  128       1         0         1         28672       0           0           0.020626     NA          0.148117          0.159298            0.159297           0.29                 226           82
1.46          217                1                  128       1         0         1         28672       0           1           .005401      NA          .034835           .029149             .029149            1.46                 217           99
1.79          217                1                  128       1         0         1         32768       0           0           0.039128     NA          0.199784          0.173151            0.173150           0.32                 257           108
1.60          218                1                  128       1         0         1         32768       0           1           .006420      NA          .040062           .033833             .033833            1.60                 218           100
1.56          218                1                  128       1         0         1         36864       0           0           0.042043     NA          0.288000          0.223916            0.223915           0.40                 289           115
1.46          220                1                  128       1         0         1         36864       0           1           .006940      NA          .045579           .038314             .038314            1.46                 220           99
1.61          220                1                  128       1         0         1         40960       0           0           0.050058     NA          0.326469          0.256151            0.256150           0.45                 321           115
1.79          218                1                  128       1         0         1         40960       0           1           .007905      NA          .053191           .042466             .042466            1.79                 218           99
