comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.49          227                1                  64        1         0         1         512         0           0           0.000444     NA          0.003853          0.003737            0.003736           0.00                 5             100
1.48          227                1                  64        1         0         1         1024        0           0           0.000907     NA          0.006642          0.006258            0.006257           0.02                 9             80
1.50          227                1                  64        1         0         1         1536        0           0           0.001270     NA          0.009025          0.008473            0.008472           0.02                 9             88
1.46          227                1                  64        1         0         1         2048        0           0           0.001675     NA          0.010773          0.009700            0.009699           0.02                 13            105
1.46          228                1                  64        1         0         1         2560        0           0           0.002107     NA          0.014583          0.012953            0.012952           0.02                 13            100
1.50          228                1                  64        1         0         1         3072        0           0           0.002555     NA          0.016216          0.013629            0.013628           0.03                 15            96
1.49          228                1                  64        1         0         1         3584        0           0           0.001102     NA          0.011305          0.015864            0.015863           0.03                 17            67
1.48          228                1                  64        1         0         1         4096        0           0           0.003388     NA          0.020435          0.019205            0.019204           0.03                 19            102
1.48          228                1                  64        1         0         1         4608        0           0           0.003762     NA          0.022506          0.019576            0.019575           0.03                 21            102
1.45          227                1                  64        1         0         1         5120        0           0           0.004106     NA          0.023876          0.022772            0.022771           0.04                 23            102
1.48          227                1                  64        1         0         1         5632        0           0           0.004661     NA          0.025695          0.024283            0.024282           0.04                 25            102
1.45          228                1                  64        1         0         1         6144        0           0           0.005132     NA          0.030062          0.026563            0.026562           0.05                 27            106
1.49          227                1                  64        1         0         1         6656        0           0           0.005517     NA          0.031317          0.029007            0.029006           0.05                 29            103
1.49          228                1                  64        1         0         1         7168        0           0           0.005208     NA          0.029063          0.029911            0.029910           0.05                 31            94
1.48          227                1                  64        1         0         1         7680        0           0           0.006208     NA          0.036684          0.032879            0.032878           0.06                 33            104
1.47          228                1                  64        1         0         1         8192        0           0           0.006225     NA          0.037330          0.033676            0.033675           0.06                 35            106
1.47          227                1                  64        1         0         2         512         0           0           0.000548     NA          0.003583          0.005041            0.005040           0.00                 6             88
1.47          228                1                  64        1         0         2         1024        0           0           0.001179     NA          0.006058          0.008669            0.008667           0.02                 8             60
1.48          227                1                  64        1         0         2         1536        0           0           0.001617     NA          0.008431          0.009039            0.009038           0.01                 10            100
1.47          227                1                  64        1         0         2         2048        0           0           0.002379     NA          0.010316          0.010372            0.010371           0.03                 12            86
1.45          228                1                  64        1         0         2         2560        0           0           0.002931     NA          0.011745          0.012665            0.012664           0.02                 15            96
1.45          226                1                  64        1         0         2         3072        0           0           0.003508     NA          0.014482          0.015682            0.015682           0.03                 17            86
1.45          227                1                  64        1         0         2         3584        0           0           0.004172     NA          0.017039          0.017577            0.017576           0.04                 19            88
1.45          226                1                  64        1         0         2         4096        0           0           0.002055     NA          0.013678          0.015306            0.015305           0.03                 21            71
1.46          228                1                  64        1         0         2         4608        0           0           0.005172     NA          0.022253          0.021359            0.021358           0.04                 23            102
1.44          228                1                  64        1         0         2         5120        0           0           0.005500     NA          0.022402          0.022321            0.022320           0.04                 26            100
1.47          227                1                  64        1         0         2         5632        0           0           0.006569     NA          0.025037          0.023331            0.023330           0.04                 28            104
1.40          227                1                  64        1         0         2         6144        0           0           0.006401     NA          0.027629          0.028099            0.028098           0.05                 30            100
1.48          228                1                  64        1         0         2         6656        0           0           0.007355     NA          0.027100          0.029119            0.029118           0.06                 33            93
1.45          228                1                  64        1         0         2         7168        0           0           0.007974     NA          0.030471          0.032184            0.032183           0.06                 35            91
